1, 8, .json, 6280719, 8, 0, 389.631, 34, 0.55556, 0.8, 0.66379, 52, 63, 59
1, 8, .json, 6280750, 8, 0, 399.611, 35, 0.54545, 1, 0.66687, 52, 63, 59
1, 8, .json, 6280726, 8, 0, 393.477, 34, 0.44444, 0.83333, 0.66618, 52, 63, 59
2, 8, .json, 12561496, 8, 0, 767.374, 68, 0.45455, 0.84615, 0.67921, 52, 70, 62
2, 8, .json, 12561393, 8, 0, 800.743, 70, 0.44444, 0.875, 0.68001, 52, 71, 62
2, 8, .json, 12561512, 8, 0, 766.142, 68, 0.5, 0.85714, 0.6811, 52, 70, 62
4, 8, .json, 25122817, 8, 0, 1548.052, 138, 0.44444, 0.92857, 0.70955, 52, 72, 67
4, 8, .json, 25122811, 8, 0, 1612.341, 144, 0.375, 0.90909, 0.70029, 52, 73, 68
4, 8, .json, 25122970, 8, 0, 1586.957, 140, 0.5, 0.92857, 0.70912, 52, 73, 67
8, 8, .json, 50245542, 8, 0, 3101.788, 277, 0.5, 1, 0.73502, 52, 74, 70
8, 8, .json, 50245665, 8, 0, 3169.535, 283, 0.44444, 0.93333, 0.73063, 52, 74, 70
8, 8, .json, 50245707, 8, 0, 3041.345, 273, 0.5, 1, 0.73677, 52, 74, 70
16, 8, .json, 100491555, 8, 0, 6065.99, 544, 0.44444, 1, 0.74965, 52, 92, 73
16, 8, .json, 100491075, 8, 0, 6116.143, 549, 0.44444, 1, 0.7488, 52, 91, 73
16, 8, .json, 100491211, 8, 0, 6098.308, 548, 0.44444, 1, 0.74719, 52, 93, 74
32, 8, .json, 200983046, 8, 0, 11973.184, 1077, 0.5, 1, 0.76042, 52, 92, 81
32, 8, .json, 200982871, 8, 0, 12014.826, 1078, 0.5, 1, 0.75733, 52, 95, 81
32, 8, .json, 200982856, 8, 0, 11897.271, 1072, 0.5, 1, 0.75912, 52, 94, 81
64, 8, .json, 401966531, 8, 0, 23742.106, 2137, 0.42857, 1, 0.76343, 53, 95, 86
64, 8, .json, 401966038, 8, 0, 23724.093, 2134, 0.44444, 1, 0.76202, 53, 94, 88
64, 8, .json, 401965468, 8, 0, 23977.033, 2161, 0.5, 1, 0.76377, 53, 94, 87
128, 8, .json, 803932388, 8, 0, 46845.647, 4225, 0.44444, 1, 0.77077, 53, 93, 88
128, 8, .json, 803932727, 8, 0, 46549.41, 4202, 0.42857, 1, 0.77078, 53, 93, 88
128, 8, .json, 803931987, 8, 0, 46926.952, 4227, 0.33333, 1, 0.77026, 53, 94, 88
256, 8, .json, 1607863469, 8, 0, 93079.545, 8392, 0.4, 1, 0.77089, 54, 98, 92
256, 8, .json, 1607862181, 8, 0, 93022.668, 8391, 0.375, 1, 0.77196, 53, 98, 92
256, 8, .json, 1607863687, 8, 0, 93295.657, 8415, 0.33333, 1, 0.77191, 53, 98, 93
512, 8, .json, 3215726847, 8, 0, 212815.929, 19142, 0.25, 1, 0.7734, 55, 99, 95
512, 8, .json, 3215727401, 8, 0, 193104.957, 17418, 0.33333, 1, 0.77266, 55, 98, 93
512, 8, .json, 3215727575, 8, 0, 191403.298, 17272, 0.33333, 1, 0.77354, 55, 100, 96
1024, 8, .json, 6431467863, 8, 0, 442985.644, 39684, 0.2, 1, 0.77596, 56, 96, 83
1024, 8, .json, 6431465310, 8, 0, 416437.265, 37516, 0.25, 1, 0.773, 55, 101, 94
1024, 8, .json, 6431467138, 8, 0, 402688.758, 36299, 0.375, 1, 0.77339, 55, 100, 95
128, 1, .json, 100515115, 1, 0, 6260.541, 560, 0.5, 1, 0.75019, 52, 89, 80
128, 1, .json, 100515098, 1, 0, 6216.74, 556, 0.45455, 1, 0.749, 52, 92, 81
128, 1, .json, 100515095, 1, 0, 6303.358, 564, 0.44444, 1, 0.75146, 52, 91, 81
128, 2, .json, 201004233, 2, 0, 12022.755, 1080, 0.42857, 1, 0.75469, 52, 93, 84
128, 2, .json, 201005106, 2, 0, 11960.424, 1073, 0.5, 1, 0.75768, 52, 92, 84
128, 2, .json, 201004232, 2, 0, 12084.528, 1083, 0.33333, 1, 0.75654, 52, 92, 83
128, 4, .json, 401980271, 4, 0, 23603.453, 2118, 0.44444, 1, 0.76346, 52, 93, 85
128, 4, .json, 401979863, 4, 0, 23861.086, 2145, 0.42857, 1, 0.76101, 52, 94, 84
128, 4, .json, 401980215, 4, 0, 23499.702, 2116, 0.5, 1, 0.76295, 52, 94, 85
128, 8, .json, 803931887, 8, 0, 47226.618, 4256, 0.45455, 1, 0.77111, 52, 93, 86
128, 8, .json, 803931431, 8, 0, 46788.811, 4221, 0.375, 1, 0.77097, 52, 93, 89
128, 8, .json, 803931340, 8, 0, 46986.863, 4223, 0.33333, 1, 0.77118, 52, 94, 87
128, 16, .json, 1607836999, 16, 0, 93272.558, 8425, 0.42857, 1, 0.77199, 52, 100, 90
128, 16, .json, 1607836514, 16, 0, 93675.483, 8456, 0.42857, 1, 0.77337, 52, 100, 91
128, 16, .json, 1607836798, 16, 0, 93330.799, 8422, 0.42857, 1, 0.77169, 52, 101, 91
128, 32, .json, 3215648615, 32, 0, 185720.083, 16788, 0.2, 1, 0.77274, 52, 99, 92
128, 32, .json, 3215646460, 32, 0, 185908.772, 16810, 0.33333, 1, 0.7727, 52, 98, 90
128, 32, .json, 3215647088, 32, 0, 186673.839, 16879, 0.375, 1, 0.77311, 52, 100, 93
